ICD-9 Code,is_ICD-9,ICD-10 Chapter
J9601,FALSE,J96
M87051,FALSE,M87
L0390,FALSE,L03
K56,FALSE,K56
R27,FALSE,R27
959.7,TRUE,S00
N12,FALSE,N12
M6281,FALSE,M62
250,TRUE,E11
721.8,TRUE,M48
G912,FALSE,G91
436,TRUE,I63
C20,FALSE,C20
S32020,FALSE,S32
C91,FALSE,C91
M2445,FALSE,M24
G903,FALSE,G90
C92,FALSE,C92
M84,FALSE,M84
S065X0A,FALSE,S06
R60,FALSE,R60
C7951,FALSE,C79
I890,FALSE,I89
I119,FALSE,I11
E08,FALSE,E08
T84020D,FALSE,T84
K632,FALSE,K63
S27,FALSE,S27
M5430,FALSE,M54
S92,FALSE,S92
I502,FALSE,I50
M545,FALSE,M54
M25,FALSE,M25
N179,FALSE,N17
S32120A,FALSE,S32
S224,FALSE,S22
E871,FALSE,E87
I6340,FALSE,I63
I11,FALSE,I11
M199,FALSE,M19
R62,FALSE,R62
L03,FALSE,L03
G61,FALSE,G61
N186,FALSE,N18
I714,FALSE,I71
Z96649,FALSE,Z96
G9340,FALSE,G93
K5660,FALSE,K56
J84,FALSE,J84
F32,FALSE,F32
C55,FALSE,C55
Z4881,FALSE,Z48
I872,FALSE,I87
L89,FALSE,L89
T84,FALSE,T84
G3185,FALSE,G31
G603,FALSE,G60
M4607,FALSE,M46
M25511,FALSE,M25
Z9981,FALSE,Z99
N390,FALSE,N39
G40,FALSE,G40
M84459A,FALSE,M84
I634,FALSE,I63
F028,FALSE,F02
M85,FALSE,M85
I442,FALSE,I44
S32010,FALSE,S32
M4322,FALSE,M43
G238,FALSE,G23
R262,FALSE,R26
I5042,FALSE,I50
I63412,FALSE,I63
G3101,FALSE,G31
R412,FALSE,R41
401.9,TRUE,I10
438.9,TRUE,I69
G82,FALSE,G82
I95,FALSE,I95
G5600,FALSE,G56
N42,FALSE,N42
M6251,FALSE,M62
S2241XD,FALSE,S22
R0602,FALSE,R06
C50919,FALSE,C50
R609,FALSE,R60
M4800,FALSE,M48
820.21,TRUE,S72
M42,FALSE,M42
M4856,FALSE,M48
R4701,FALSE,R47
S0990XA,FALSE,S09
Z48,FALSE,Z48
I62,FALSE,I62
C7800,FALSE,C78
Q796,FALSE,Q79
I69354,FALSE,I69
D72,FALSE,D72
K6389,FALSE,K63
C18,FALSE,C18
L57,FALSE,L57
824.9,TRUE,S93
C80,FALSE,C80
K7469,FALSE,K74
M16,FALSE,M16
M8000XA,FALSE,M80
239.1,TRUE,D49
Z789,FALSE,Z78
H81,FALSE,H81
C7A0,FALSE,C7A
I998,FALSE,I99
C25,FALSE,C25
I70,FALSE,I70
I27,FALSE,I27
A419,FALSE,A41
E0500,FALSE,E05
M5441,FALSE,M54
R29,FALSE,R29
K25,FALSE,K25
M778,FALSE,M77
M51,FALSE,M51
G62,FALSE,G62
728.87,TRUE,M62
L08,FALSE,L08
S2249XA,FALSE,S22
B342,FALSE,B34
C859,FALSE,C85
S80,FALSE,S80
I69351,FALSE,I69
S13,FALSE,S13
F43,FALSE,F43
H548,FALSE,H54
R06,FALSE,R06
R25,FALSE,R25
S22089D,FALSE,S22
R2689,FALSE,R26
C716,FALSE,C71
I6341,FALSE,I63
R531,FALSE,R53
S42202,FALSE,S42
E1165,FALSE,E11
H8109,FALSE,H81
805.4,TRUE,S12
R29898,FALSE,R29
J410,FALSE,J41
I493,FALSE,I49
S62,FALSE,S62
K625,FALSE,K62
I672,FALSE,I67
E1122,FALSE,E11
