ICD-9 Code,is_ICD-9,ICD-10 Chapter
M064,FALSE,M06
737.3,TRUE,M41
C77,FALSE,C77
41.04,FALSE,41
Z9049,FALSE,Z90
I873,FALSE,I87
S32010A,FALSE,S32
G0481,FALSE,G04
440.22,TRUE,I70
C88,FALSE,C88
C84,FALSE,C84
M84371,FALSE,M84
457.1,TRUE,I89
M6258,FALSE,M62
H3535,FALSE,H35
M25559,FALSE,M25
J159,FALSE,J15
R600,FALSE,R60
410.72,TRUE,I21
G909,FALSE,G90
D62,FALSE,D62
Z5189,FALSE,Z51
G40509,FALSE,G40
G933,FALSE,G93
C9210,FALSE,C92
I6359,FALSE,I63
S32020D,FALSE,S32
J9602,FALSE,J96
S32810D,FALSE,S32
F25,FALSE,F25
G2111,FALSE,G21
I82409,FALSE,I82
Z89,FALSE,Z89
L120,FALSE,L12
331.19,TRUE,G31
R471,FALSE,R47
E46,FALSE,E46
I69152,FALSE,I69
J9691,FALSE,J96
R6251,FALSE,R62
M754,FALSE,M75
C109,FALSE,C10
M8447,FALSE,M84
K5792,FALSE,K57
F449,FALSE,F44
G4050,FALSE,G40
G939,FALSE,G93
M7502,FALSE,M75
M40,FALSE,M40
A809,FALSE,A80
G7281,FALSE,G72
G510,FALSE,G51
Z74,FALSE,Z74
M25311,FALSE,M25
M84471,FALSE,M84
M171,FALSE,M17
G5782,FALSE,G57
M4781,FALSE,M47
C210,FALSE,C21
I69952,FALSE,I69
S43004D,FALSE,S43
C3492,FALSE,C34
290.2,TRUE,F03
E611,FALSE,E61
H18,FALSE,H18
D631,FALSE,D63
R13,FALSE,R13
429.2,TRUE,I51
S4240,FALSE,S42
I674,FALSE,I67
R19,FALSE,R19
G32,FALSE,G32
M540,FALSE,M54
M8705,FALSE,M87
R52,FALSE,R52
S12690,FALSE,S12
V89,FALSE,V89
Z940,FALSE,Z94
Z918,FALSE,Z91
294,TRUE,F02
S42352A,FALSE,S42
Z894,FALSE,Z89
H9193,FALSE,H91
J431,FALSE,J43
G8114,FALSE,G81
K5750,FALSE,K57
S32019A,FALSE,S32
M12,FALSE,M12
C56,FALSE,C56
Z4542,FALSE,Z45
H3412,FALSE,H34
C679,FALSE,C67
723.4,TRUE,M54
R00,FALSE,R00
R57,FALSE,R57
S22080G,FALSE,S22
M0589,FALSE,M05
C7981,FALSE,C79
I132,FALSE,I13
M161,FALSE,M16
L03113,FALSE,L03
C50412,FALSE,C50
M452,FALSE,M45
S32401D,FALSE,S32
296.8,TRUE,F31
E75242,FALSE,E75
Z966,FALSE,Z96
M799,FALSE,M79
J38,FALSE,J38
H33,FALSE,H33
S71,FALSE,S71
G936,FALSE,G93
O99,FALSE,O99
G114,FALSE,G11
K72,FALSE,K72
C251,FALSE,C25
J181,FALSE,J18
I618,FALSE,I61
I6322,FALSE,I63
F309,FALSE,F30
N31,FALSE,N31
E86,FALSE,E86
S32492,FALSE,S32
M0600,FALSE,M06
I42,FALSE,I42
S30,FALSE,S30
V12,FALSE,V12
I96,FALSE,I96
M5432,FALSE,M54
Z483,FALSE,Z48
R651,FALSE,R65
M8509,FALSE,M85
Z96611,FALSE,Z96
726.1,TRUE,M75
794.09,TRUE,R94
S060X1A,FALSE,S06
S424,FALSE,S42
S1220,FALSE,S12
F4323,FALSE,F43
38.8,FALSE,38
S1214XS,FALSE,S12
A4101,FALSE,A41
M84454D,FALSE,M84
S22080,FALSE,S22
S32599D,FALSE,S32
E875,FALSE,E87
R48,FALSE,R48
Z7409,FALSE,Z74
G7289,FALSE,G72
M1901,FALSE,M19
M4134,FALSE,M41
J42,FALSE,J42
R338,FALSE,R33
R32,FALSE,R32
C8510,FALSE,C85
C181,FALSE,C18
Z9989,FALSE,Z99
Z832,FALSE,Z83
S22080S,FALSE,S22
Z4901,FALSE,Z49
799.3,TRUE,R41
I272,FALSE,I27
M3131,FALSE,M31
R59,FALSE,R59
I34,FALSE,I34
M84461,FALSE,M84
O161,FALSE,O16
M80022,FALSE,M80
M84451A,FALSE,M84
M5431,FALSE,M54
E109,FALSE,E10
L929,FALSE,L92
I82403,FALSE,I82
I129,FALSE,I12
296.7,TRUE,F31
S42021D,FALSE,S42
G218,FALSE,G21
C78,FALSE,C78
995.91,TRUE,T88
E661,FALSE,E66
N111,FALSE,N11
T402X1S,FALSE,T40
D496,FALSE,D49
R5382,FALSE,R53
R17,FALSE,R17
A88,FALSE,A88
369.3,TRUE,H54
M75102,FALSE,M75
K51913,FALSE,K51
F72,FALSE,F72
350.9,TRUE,G50
S12112B,FALSE,S12
M25569,FALSE,M25
S5260,FALSE,S52
M4856XA,FALSE,M48
M0689,FALSE,M06
E79,FALSE,E79
721,TRUE,M54
K578,FALSE,K57
C8590,FALSE,C85
Q0700,FALSE,Q07
A9231,FALSE,A92
A77,FALSE,A77
H811,FALSE,H81
345.9,TRUE,G40
J069,FALSE,J06
M75101,FALSE,M75
E11319,FALSE,E11
H31013,FALSE,H31
331.82,TRUE,G31
F132,FALSE,F13
I63531,FALSE,I63
G5762,FALSE,G57
T8451,FALSE,T84
M4803,FALSE,M48
S2205,FALSE,S22
M450,FALSE,M45
427.31,TRUE,I48
H810,FALSE,H81
B951,FALSE,B95
C8581,FALSE,C85
S32000D,FALSE,S32
R222,FALSE,R22
I6905,FALSE,I69
S066,FALSE,S06
S22080A,FALSE,S22
B20,FALSE,B20
B37,FALSE,B37
G210,FALSE,G21
C439,FALSE,C43
S74,FALSE,S74
Z85820,FALSE,Z85
K659,FALSE,K65
D321,FALSE,D32
J80,FALSE,J80
M513,FALSE,M51
R278,FALSE,R27
S3289XA,FALSE,S32
S32040A,FALSE,S32
B33,FALSE,B33
C44329,FALSE,C44
S32592D,FALSE,S32
S3200,FALSE,S32
R760,FALSE,R76
F445,FALSE,F44
S06360,FALSE,S06
R293,FALSE,R29
S42302B,FALSE,S42
S32041D,FALSE,S32
348.31,TRUE,G93
M34,FALSE,M34
G373,FALSE,G37
S53144D,FALSE,S53
H25,FALSE,H25
Z720,FALSE,Z72
S3210XD,FALSE,S32
M4989,FALSE,M49
T814,FALSE,T81
S3289XD,FALSE,S32
B370,FALSE,B37
F200,FALSE,F20
Z794,FALSE,Z79
F418,FALSE,F41
D500,FALSE,D50
I1310,FALSE,I13
T84041A,FALSE,T84
C22,FALSE,C22
G039,FALSE,G03
S22088A,FALSE,S22
E236,FALSE,E23
R1319,FALSE,R13
M5104,FALSE,M51
S83,FALSE,S83
I8242,FALSE,I82
M7552,FALSE,M75
Z951,FALSE,Z95
I6203,FALSE,I62
M4004,FALSE,M40
M8001,FALSE,M80
M26,FALSE,M26
M70,FALSE,M70
K868,FALSE,K86
C459,FALSE,C45
F3181,FALSE,F31
G802,FALSE,G80
S32509,FALSE,S32
438.21,TRUE,I69
D7581,FALSE,D75
M84359,FALSE,M84
C7911,FALSE,C79
R339,FALSE,R33
R634,FALSE,R63
331.89,TRUE,G31
C793,FALSE,C79
I49,FALSE,I49
M255,FALSE,M25
C8238,FALSE,C82
M405,FALSE,M40
S24,FALSE,S24
I63331,FALSE,I63
Z899,FALSE,Z89
M4714,FALSE,M47
S22030,FALSE,S22
T84021A,FALSE,T84
H5450,FALSE,H54
I483,FALSE,I48
C223,FALSE,C22
G610,FALSE,G61
F1026,FALSE,F10
C711,FALSE,C71
G900,FALSE,G90
S02,FALSE,S02
J11,FALSE,J11
R73,FALSE,R73
J81,FALSE,J81
M49,FALSE,M49
715,TRUE,M19
I63521,FALSE,I63
C95,FALSE,C95
Z96652,FALSE,Z96
S52501,FALSE,S52
I632,FALSE,I63
S0083,FALSE,S00
81.51,TRUE,0SR
R6520,FALSE,R65
401,TRUE,I10
I69339,FALSE,I69
S01,FALSE,S01
C9200,FALSE,C92
M47817,FALSE,M47
S066X0A,FALSE,S06
F10,FALSE,F10
M5001,FALSE,M50
R079,FALSE,R07
S32042D,FALSE,S32
M7071,FALSE,M70
M6289,FALSE,M62
M25062,FALSE,M25
Q85,FALSE,Q85
D531,FALSE,D53
M8008XA,FALSE,M80
M2556,FALSE,M25
W540XXD,FALSE,W54
M25061,FALSE,M25
S32041,FALSE,S32
M169,FALSE,M16
780.9,TRUE,R41
I4892,FALSE,I48
G8333,FALSE,G83
D0512,FALSE,D05
S32049,FALSE,S32
G5601,FALSE,G56
K562,FALSE,K56
C17,FALSE,C17
D329,FALSE,D32
C23,FALSE,C23
F333,FALSE,F33
G1229,FALSE,G12
C65,FALSE,C65
I720,FALSE,I72
J869,FALSE,J86
I30,FALSE,I30
R91,FALSE,R91
S52121,FALSE,S52
I63532,FALSE,I63
429.89,TRUE,I51
K46,FALSE,K46
F328,FALSE,F32
S63,FALSE,S63
I20,FALSE,I20
I472,FALSE,I47
S91,FALSE,S91
E818,FALSE,E81
L4059,FALSE,L40
I6781,FALSE,I67
M84312,FALSE,M84
596.8,TRUE,N32
M80812,FALSE,M80
S024,FALSE,S02
I610,FALSE,I61
K7031,FALSE,K70
I249,FALSE,I24
M84459S,FALSE,M84
I6602,FALSE,I66
H43,FALSE,H43
38,FALSE,38
G40209,FALSE,G40
R404,FALSE,R40
Z89412,FALSE,Z89
584.5,TRUE,N17
M24662,FALSE,M24
K623,FALSE,K62
S42212A,FALSE,S42
I2511,FALSE,I25
I6921,FALSE,I69
S37,FALSE,S37
R441,FALSE,R44
J9620,FALSE,J96
C3412,FALSE,C34
Z89511,FALSE,Z89
S2232,FALSE,S22
J9622,FALSE,J96
P91,FALSE,P91
S1201,FALSE,S12
S32019D,FALSE,S32
I6011,FALSE,I60
M12811,FALSE,M12
G239,FALSE,G23
W69,FALSE,W69
S2242,FALSE,S22
188.9,TRUE,C67
415.19,TRUE,I26
M47815,FALSE,M47
394.9,TRUE,I08
K82,FALSE,K82
I211,FALSE,I21
M4602,FALSE,M46
E10,FALSE,E10
S2239XB,FALSE,S22
G259,FALSE,G25
M13862,FALSE,M13
S32040D,FALSE,S32
K22,FALSE,K22
S32810A,FALSE,S32
435.3,TRUE,G45
M0604,FALSE,M06
K5730,FALSE,K57
R1310,FALSE,R13
K5190,FALSE,K51
J8411,FALSE,J84
357.2,TRUE,G63
C9160,FALSE,C91
M315,FALSE,M31
F989,FALSE,F98
I6932,FALSE,I69
S52021D,FALSE,S52
I6991,FALSE,I69
C833,FALSE,C83
I9789,FALSE,I97
G952,FALSE,G95
M869,FALSE,M86
I504,FALSE,I50
Z20,FALSE,Z20
T8130XA,FALSE,T81
812.2,TRUE,S42
M19011,FALSE,M19
S14109A,FALSE,S14
721.3,TRUE,M54
H3532,FALSE,H35
E118,FALSE,E11
B9681,FALSE,B96
L03818,FALSE,L03
D849,FALSE,D84
428,TRUE,I50
K21,FALSE,K21
C4432,FALSE,C44
F4322,FALSE,F43
R1314,FALSE,R13
C44321,FALSE,C44
C7A,FALSE,C7A
S22000,FALSE,S22
M8949,FALSE,M89
M80852D,FALSE,M80
C8193,FALSE,C81
G9381,FALSE,G93
J121,FALSE,J12
H490,FALSE,H49
I517,FALSE,I51
560.9,TRUE,K56
Z85038,FALSE,Z85
M47814,FALSE,M47
S1410,FALSE,S14
D05,FALSE,D05
R09,FALSE,R09
K572,FALSE,K57
S32402S,FALSE,S32
M109,FALSE,M10
M87012,FALSE,M87
E09,FALSE,E09
I270,FALSE,I27
F1010,FALSE,F10
M4726,FALSE,M47
D68,FALSE,D68
Z981,FALSE,Z98
E1121,FALSE,E11
M484,FALSE,M48
N131,FALSE,N13
Z87448,FALSE,Z87
S76,FALSE,S76
M87052,FALSE,M87
D69,FALSE,D69
M4312,FALSE,M43
J9311,FALSE,J93
M911,FALSE,M91
G9511,FALSE,G95
K59,FALSE,K59
C9111,FALSE,C91
780,TRUE,R41
Z87440,FALSE,Z87
Z952,FALSE,Z95
M22,FALSE,M22
S4291XD,FALSE,S42
S42462D,FALSE,S42
S222,FALSE,S22
Q282,FALSE,Q28
S32111,FALSE,S32
R93,FALSE,R93
320.1,TRUE,G00
E1149,FALSE,E11
H402230,FALSE,H40
818,TRUE,S32
724.4,TRUE,M54
578.9,TRUE,K92
T78,FALSE,T78
A6922,FALSE,A69
E63,FALSE,E63
V892XXA,FALSE,V89
L89154,FALSE,L89
736.89,TRUE,M24
S2208,FALSE,S22
S1259,FALSE,S12
V49,FALSE,V49
707.1,TRUE,L89
N181,FALSE,N18
S32301D,FALSE,S32
M11261,FALSE,M11
S42441,FALSE,S42
E8770,FALSE,E87
B9721,FALSE,B97
S4235,FALSE,S42
S069X9A,FALSE,S06
K80,FALSE,K80
K50,FALSE,K50
G8190,FALSE,G81
M8437,FALSE,M84
H93,FALSE,H93
I69854,FALSE,I69
I69151,FALSE,I69
I2789,FALSE,I27
C7889,FALSE,C78
T84093,FALSE,T84
M4324,FALSE,M43
A80,FALSE,A80
808.8,TRUE,S32
821,TRUE,S72
R68,FALSE,R68
H612,FALSE,H61
S43032,FALSE,S43
S3259,FALSE,S32
280,TRUE,D50
C50211,FALSE,C50
G40309,FALSE,G40
C951,FALSE,C95
S43004A,FALSE,S43
A79,FALSE,A79
290.4,TRUE,F03
S32401,FALSE,S32
S12100D,FALSE,S12
M549,FALSE,M54
D33,FALSE,D33
I269,FALSE,I26
M75122,FALSE,M75
K449,FALSE,K44
812,TRUE,S42
S32811,FALSE,S32
L82,FALSE,L82
K00,FALSE,K00
I611,FALSE,I61
C671,FALSE,C67
Z954,FALSE,Z95
S88,FALSE,S88
M1904,FALSE,M19
G542,FALSE,G54
959.8,TRUE,S00
B351,FALSE,B35
M5417,FALSE,M54
A86,FALSE,A86
S32692D,FALSE,S32
F068,FALSE,F06
E0800,FALSE,E08
I82412,FALSE,I82
K8001,FALSE,K80
K5711,FALSE,K57
820.9,TRUE,S72
G8310,FALSE,G83
I749,FALSE,I74
C911,FALSE,C91
S12600,FALSE,S12
I63421,FALSE,I63
V54,FALSE,V54
G47419,FALSE,G47
S42301S,FALSE,S42
C419,FALSE,C41
J06,FALSE,J06
S062,FALSE,S06
I8281,FALSE,I82
G6289,FALSE,G62
I45,FALSE,I45
S12500D,FALSE,S12
T8484,FALSE,T84
M661,FALSE,M66
I7300,FALSE,I73
N171,FALSE,N17
S52532D,FALSE,S52
294.8,TRUE,F02
N16,FALSE,N16
G5622,FALSE,G56
K5731,FALSE,K57
G409,FALSE,G40
I68,FALSE,I68
Z48811,FALSE,Z48
S32028D,FALSE,S32
I69951,FALSE,I69
M00,FALSE,M00
N3091,FALSE,N30
R33,FALSE,R33
C8440,FALSE,C84
81.54,TRUE,0SR
M5387,FALSE,M53
342.9,TRUE,G81
G37,FALSE,G37
N138,FALSE,N13
R809,FALSE,R80
S22069,FALSE,S22
E55,FALSE,E55
V43.61,FALSE,V43
I309,FALSE,I30
S429,FALSE,S42
C714,FALSE,C71
S20211A,FALSE,S20
C69,FALSE,C69
722.6,TRUE,M51
F04,FALSE,F04
I2584,FALSE,I25
G914,FALSE,G91
G468,FALSE,G46
C571,FALSE,C57
575.1,TRUE,K83
M0510,FALSE,M05
Z86718,FALSE,Z86
H547,FALSE,H54
S32391D,FALSE,S32
S42018,FALSE,S42
300.4,TRUE,F41
361,TRUE,H35
518.81,TRUE,J96
N319,FALSE,N31
S4992,FALSE,S49
J15212,FALSE,J15
M4805,FALSE,M48
S52502D,FALSE,S52
I4430,FALSE,I44
S029,FALSE,S02
I6990,FALSE,I69
C73,FALSE,C73
M00012,FALSE,M00
F209,FALSE,F20
335.2,TRUE,G12
R630,FALSE,R63
S32029,FALSE,S32
334.1,TRUE,G11
T46,FALSE,T46
R18,FALSE,R18
G932,FALSE,G93
S0502XA,FALSE,S05
429,TRUE,I51
M4626,FALSE,M46
B028,FALSE,B02
I33,FALSE,I33
C753,FALSE,C75
N3090,FALSE,N30
S32591,FALSE,S32
T84021D,FALSE,T84
G58,FALSE,G58
G8254,FALSE,G82
I63232,FALSE,I63
S52021A,FALSE,S52
N49,FALSE,N49
D490,FALSE,D49
723,TRUE,M54
C661,FALSE,C66
I253,FALSE,I25
S2204,FALSE,S22
K529,FALSE,K52
M10061,FALSE,M10
K74,FALSE,K74
K44,FALSE,K44
Z87312,FALSE,Z87
N289,FALSE,N28
D49,FALSE,D49
S52022D,FALSE,S52
M86171,FALSE,M86
S22060,FALSE,S22
W18,FALSE,W18
C24,FALSE,C24
C4912,FALSE,C49
S12400A,FALSE,S12
A692,FALSE,A69
S066X0,FALSE,S06
G122,FALSE,G12
721.1,TRUE,M54
357,TRUE,G63
G119,FALSE,G11
P294,FALSE,P29
C8310,FALSE,C83
295,TRUE,F20
C179,FALSE,C17
M471,FALSE,M47
Z992,FALSE,Z99
H4011,FALSE,H40
J986,FALSE,J98
Z8551,FALSE,Z85
F2081,FALSE,F20
F79,FALSE,F79
G40319,FALSE,G40
G905,FALSE,G90
I713,FALSE,I71
R159,FALSE,R15
G408,FALSE,G40
M485,FALSE,M48
722.83,TRUE,M51
B4481,FALSE,B44
M80052,FALSE,M80
M25461,FALSE,M25
Z4732,FALSE,Z47
S322,FALSE,S32
J209,FALSE,J20
M544,FALSE,M54
M9918,FALSE,M99
F444,FALSE,F44
M5442,FALSE,M54
J188,FALSE,J18
I4901,FALSE,I49
L98499,FALSE,L98
I97821,FALSE,I97
721.41,TRUE,M54
G2582,FALSE,G25
D8689,FALSE,D86
E079,FALSE,E07
R56,FALSE,R56
Z944,FALSE,Z94
Q899,FALSE,Q89
C01,FALSE,C01
G40911,FALSE,G40
T8453,FALSE,T84
S0101XA,FALSE,S01
G129,FALSE,G12
D37,FALSE,D37
G710,FALSE,G71
Z9849,FALSE,Z98
S066X1A,FALSE,S06
M76899,FALSE,M76
M4606,FALSE,M46
I612,FALSE,I61
K58,FALSE,K58
K420,FALSE,K42
M25851,FALSE,M25
C45,FALSE,C45
E1151,FALSE,E11
R294,FALSE,R29
348.1,TRUE,G93
R0489,FALSE,R04
321,TRUE,G04
M5012,FALSE,M50
M7501,FALSE,M75
I770,FALSE,I77
C494,FALSE,C49
S3202,FALSE,S32
I635,FALSE,I63
G038,FALSE,G03
I63549,FALSE,I63
S03,FALSE,S03
N3001,FALSE,N30
C763,FALSE,C76
F1323,FALSE,F13
G4089,FALSE,G40
I82221,FALSE,I82
R65,FALSE,R65
E11621,FALSE,E11
G508,FALSE,G50
290.12,TRUE,F03
M80071D,FALSE,M80
M4840XS,FALSE,M48
C729,FALSE,C72
334,TRUE,G11
S42402,FALSE,S42
I32,FALSE,I32
K5793,FALSE,K57
G219,FALSE,G21
K75,FALSE,K75
C4A,FALSE,C4A
R931,FALSE,R93
335.1,TRUE,G12
G9731,FALSE,G97
C9002,FALSE,C90
L89620,FALSE,L89
I69054,FALSE,I69
I5181,FALSE,I51
F10129,FALSE,F10
M533,FALSE,M53
369.01,TRUE,H54
C3431,FALSE,C34
H8113,FALSE,H81
C030,FALSE,C03
N3041,FALSE,N30
729.1,TRUE,M79
C713,FALSE,C71
C8280,FALSE,C82
B91,FALSE,B91
I63542,FALSE,I63
Z430,FALSE,Z43
C495,FALSE,C49
K8063,FALSE,K80
M4125,FALSE,M41
G608,FALSE,G60
359,TRUE,G72
I719,FALSE,I71
S5257,FALSE,S52
E54,FALSE,E54
L03119,FALSE,L03
I671,FALSE,I67
M80052A,FALSE,M80
724.2,TRUE,M54
S32020A,FALSE,S32
S32018D,FALSE,S32
N492,FALSE,N49
M08,FALSE,M08
M750,FALSE,M75
I469,FALSE,I46
I24,FALSE,I24
205.8,TRUE,C92
S93,FALSE,S93
J988,FALSE,J98
L89130,FALSE,L89
M1A,FALSE,M1A
F250,FALSE,F25
G579,FALSE,G57
Z96661,FALSE,Z96
S329XXD,FALSE,S32
I6910,FALSE,I69
C7A1,FALSE,C7A
I25118,FALSE,I25
C089,FALSE,C08
F602,FALSE,F60
E859,FALSE,E85
C499,FALSE,C49
M4186,FALSE,M41
L76,FALSE,L76
K598,FALSE,K59
K460,FALSE,K46
M19019,FALSE,M19
C154,FALSE,C15
P543,FALSE,P54
G822,FALSE,G82
M5105,FALSE,M51
T68,FALSE,T68
J918,FALSE,J91
Z96653,FALSE,Z96
C7949,FALSE,C79
T84068S,FALSE,T84
T1491,FALSE,T14
820.09,TRUE,S72
M432,FALSE,M43
K862,FALSE,K86
D6852,FALSE,D68
M1710,FALSE,M17
S42142D,FALSE,S42
K7030,FALSE,K70
M4842,FALSE,M48
I260,FALSE,I26
R040,FALSE,R04
334.3,TRUE,G11
C919,FALSE,C91
Z433,FALSE,Z43
H34812,FALSE,H34
M80061D,FALSE,M80
J84115,FALSE,J84
C641,FALSE,C64
G062,FALSE,G06
716.9,TRUE,M25
M4716,FALSE,M47
M8088XD,FALSE,M80
H4423,FALSE,H44
S46092D,FALSE,S46
Z87828,FALSE,Z87
R258,FALSE,R25
M4620,FALSE,M46
D684,FALSE,D68
C53,FALSE,C53
C712,FALSE,C71
J16,FALSE,J16
Z9889,FALSE,Z98
L88,FALSE,L88
N200,FALSE,N20
S32411D,FALSE,S32
S300XXD,FALSE,S30
I69959,FALSE,I69
S43004,FALSE,S43
R35,FALSE,R35
I6985,FALSE,I69
D487,FALSE,D48
K225,FALSE,K22
I82401,FALSE,I82
M84372,FALSE,M84
K421,FALSE,K42
M8440XA,FALSE,M84
N300,FALSE,N30
369,TRUE,H54
F331,FALSE,F33
M2126,FALSE,M21
I87313,FALSE,I87
M2550,FALSE,M25
41.9,FALSE,41
C574,FALSE,C57
M4622,FALSE,M46
S52551D,FALSE,S52
434.11,TRUE,I63
S5202,FALSE,S52
431,TRUE,I61
D492,FALSE,D49
C254,FALSE,C25
E1129,FALSE,E11
C4021,FALSE,C40
L9781,FALSE,L97
323,TRUE,G04
I63139,FALSE,I63
C780,FALSE,C78
M25561,FALSE,M25
M5418,FALSE,M54
H18899,FALSE,H18
K519,FALSE,K51
I453,FALSE,I45
Z89611,FALSE,Z89
E110,FALSE,E11
M8002,FALSE,M80
J45909,FALSE,J45
D86,FALSE,D86
564.1,TRUE,K59
C300,FALSE,C30
G96,FALSE,G96
B0222,FALSE,B02
N139,FALSE,N13
Z9665,FALSE,Z96
I63439,FALSE,I63
C642,FALSE,C64
M5440,FALSE,M54
E063,FALSE,E06
C023,FALSE,C02
Z8042,FALSE,Z80
S141,FALSE,S14
G901,FALSE,G90
G500,FALSE,G50
S09,FALSE,S09
I69154,FALSE,I69
J47,FALSE,J47
R489,FALSE,R48
854,TRUE,S06
R0902,FALSE,R09
T8131XA,FALSE,T81
C329,FALSE,C32
K43,FALSE,K43
S32000S,FALSE,S32
E115,FALSE,E11
Z208,FALSE,Z20
M954,FALSE,M95
C784,FALSE,C78
F062,FALSE,F06
C649,FALSE,C64
M4306,FALSE,M43
G892,FALSE,G89
M8487,FALSE,M84
D30,FALSE,D30
M4690,FALSE,M46
I69198,FALSE,I69
R918,FALSE,R91
K651,FALSE,K65
S22040,FALSE,S22
M844,FALSE,M84
K631,FALSE,K63
F51,FALSE,F51
710.4,TRUE,M35
M4317,FALSE,M43
F84,FALSE,F84
J45,FALSE,J45
K12,FALSE,K12
C32,FALSE,C32
K5100,FALSE,K51
C8589,FALSE,C85
M66,FALSE,M66
I69298,FALSE,I69
J95,FALSE,J95
I7100,FALSE,I71
342.12,TRUE,G81
S2232XA,FALSE,S22
L891,FALSE,L89
S42231,FALSE,S42
S43024D,FALSE,S43
M79673,FALSE,M79
T85,FALSE,T85
I607,FALSE,I60
J15,FALSE,J15
M0680,FALSE,M06
G3189,FALSE,G31
M25859,FALSE,M25
M84454,FALSE,M84
B95,FALSE,B95
C700,FALSE,C70
H3521,FALSE,H35
S42252D,FALSE,S42
S508,FALSE,S50
I69320,FALSE,I69
M19041,FALSE,M19
J8481,FALSE,J84
F060,FALSE,F06
M40209,FALSE,M40
J10,FALSE,J10
G9589,FALSE,G95
M4320,FALSE,M43
154,TRUE,C19
M609,FALSE,M60
81.8,TRUE,0SR
M509,FALSE,M50
M861,FALSE,M86
I2782,FALSE,I27
M86671,FALSE,M86
S06301D,FALSE,S06
L97509,FALSE,L97
S065X3D,FALSE,S06
L97512,FALSE,L97
K819,FALSE,K81
I678,FALSE,I67
432.9,TRUE,I62
S065X0D,FALSE,S06
V58.78,FALSE,V58
K433,FALSE,K43
R482,FALSE,R48
S142,FALSE,S14
G2119,FALSE,G21
G06,FALSE,G06
S32018A,FALSE,S32
M67,FALSE,M67
I256,FALSE,I25
I2581,FALSE,I25
T8351,FALSE,T83
Z4800,FALSE,Z48
S270,FALSE,S27
E116,FALSE,E11
H43812,FALSE,H43
G9050,FALSE,G90
S42121,FALSE,S42
S0635,FALSE,S06
M80051,FALSE,M80
S062X1,FALSE,S06
J41,FALSE,J41
C959,FALSE,C95
M129,FALSE,M12
725,TRUE,M79
K50913,FALSE,K50
M2546,FALSE,M25
R350,FALSE,R35
C9030,FALSE,C90
N3281,FALSE,N32
M14672,FALSE,M14
M84412,FALSE,M84
T50901A,FALSE,T50
K224,FALSE,K22
Z8619,FALSE,Z86
S42309,FALSE,S42
F313,FALSE,F31
331.7,TRUE,G31
M5117,FALSE,M51
N946,FALSE,N94
Z12,FALSE,Z12
Z942,FALSE,Z94
S3281,FALSE,S32
I63012,FALSE,I63
S43012D,FALSE,S43
J20,FALSE,J20
I716,FALSE,I71
Z09,FALSE,Z09
R9082,FALSE,R90
S42401,FALSE,S42
S52572A,FALSE,S52
S063,FALSE,S06
C81,FALSE,C81
D591,FALSE,D59
C9590,FALSE,C95
S22009D,FALSE,S22
Z89612,FALSE,Z89
C07,FALSE,C07
K63,FALSE,K63
Z0001,FALSE,Z00
R319,FALSE,R31
D7282,FALSE,D72
I6900,FALSE,I69
N359,FALSE,N35
G0490,FALSE,G04
S32810,FALSE,S32
333.4,TRUE,G25
S1093,FALSE,S10
I82402,FALSE,I82
S52502,FALSE,S52
N3020,FALSE,N30
S3421,FALSE,S34
G448,FALSE,G44
C19,FALSE,C19
331.1,TRUE,G31
Z93,FALSE,Z93
S520,FALSE,S52
571.9,TRUE,K76
S42401A,FALSE,S42
M7522,FALSE,M75
C3432,FALSE,C34
M80072,FALSE,M80
852.2,TRUE,S06
M4005,FALSE,M40
F102,FALSE,F10
H47149,FALSE,H47
G249,FALSE,G24
G111,FALSE,G11
806.19,TRUE,S12
D09,FALSE,D09
I70262,FALSE,I70
N28,FALSE,N28
S32031D,FALSE,S32
S06369,FALSE,S06
M25551,FALSE,M25
C710,FALSE,C71
M546,FALSE,M54
K3184,FALSE,K31
I342,FALSE,I34
G911,FALSE,G91
L95,FALSE,L95
G3181,FALSE,G31
I6349,FALSE,I63
R0600,FALSE,R06
M532,FALSE,M53
S14129A,FALSE,S14
K450,FALSE,K45
S062X9D,FALSE,S06
T8459,FALSE,T84
K820,FALSE,K82
S2241,FALSE,S22
K5732,FALSE,K57
C8331,FALSE,C83
L4053,FALSE,L40
S2220XD,FALSE,S22
S39,FALSE,S39
C880,FALSE,C88
F322,FALSE,F32
G53,FALSE,G53
V892,FALSE,V89
S140XXD,FALSE,S14
S32050,FALSE,S32
S13120D,FALSE,S13
I6915,FALSE,I69
335.24,TRUE,G12
781.3,TRUE,R26
E1169,FALSE,E11
M80032D,FALSE,M80
M4624,FALSE,M46
M8589,FALSE,M85
C240,FALSE,C24
G031,FALSE,G03
G9529,FALSE,G95
B349,FALSE,B34
174,TRUE,C50
430,TRUE,I60
I2582,FALSE,I25
335.19,TRUE,G12
C159,FALSE,C15
C775,FALSE,C77
C482,FALSE,C48
J155,FALSE,J15
S080XXS,FALSE,S08
T8450XA,FALSE,T84
S42411,FALSE,S42
G44,FALSE,G44
C163,FALSE,C16
E0940,FALSE,E09
M67919,FALSE,M67
H3552,FALSE,H35
K55,FALSE,K55
S5200,FALSE,S52
K76,FALSE,K76
Z905,FALSE,Z90
I63519,FALSE,I63
Z8546,FALSE,Z85
S0003,FALSE,S00
